,Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
116,2,2,Not Furnished,525," 15,000        ",Bala Nagar,0,0,0,0
117,2,2,NaN,800," 17,000        ",Erragadda,0,0,0,0
118,2,2,Semi Furnished,975," 10,000        ",Attapur,0,0,0,0
119,1,2,Not Furnished,413," 8,000        ",Chanda Nagar,0,0,0,0
120,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
121,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
122,2,3,Fully Furnished,880," 25,000        ",Gachibowli,0,1,0,0
123,3,3,Semi Furnished,1680," 42,000        ",Kondapur,0,0,0,0
124,4,4,Semi Furnished,3000, 1.25 L         ,Kavuri Hills,1,0,0,0
125,1,1,NaN,938," 11,000        ",Allwyn Colony,0,1,0,0
126,2,2,NaN,825," 12,500        ",Ayodhya Nagar Colony-Mehdipatnam,0,1,0,0
127,2,2,Not Furnished,525," 15,000        ",Bala Nagar,0,0,0,0
128,3,2,Semi Furnished,1013," 20,000        ",Paramount Hills,0,0,0,0
129,2,2,Semi Furnished,1125," 12,500        ",Sriramnagar Colony-Banjara Hills,0,1,0,0
130,2,2,NaN,784," 20,000        ",Kakatiya Hills,0,1,0,0
131,3,2,NaN,1400," 22,000        ",Miyapur,0,0,0,0
132,1,1,NaN,225," 5,000        ",Dilsukhnagar,0,1,0,0
133,2,2,Semi Furnished,525," 8,500        ",Hakimpet,0,0,0,0
134,2,2,NaN,938," 20,000        ",Pragathi Nagar-Kukatpally,0,0,0,0
135,2,2,Semi Furnished,713," 15,000        ",Moula Ali,0,0,0,0
136,3,3,NaN,1013," 12,000        ",Quthbullapur,0,0,0,0
137,2,2,NaN,713," 15,000        ",Mallapur,0,0,0,0
138,3,3,Semi Furnished,1280," 22,000        ",Trimulgherry,0,1,0,0
139,3,3,NaN,1048," 18,500        ",Kismatpur,0,0,0,0
140,3,3,Semi Furnished,1460," 22,000        ",Trimulgherry,0,1,0,0
141,1,1,NaN,450," 5,500        ",Bandlaguda Jagir,0,1,0,0
142,2,2,NaN,825," 12,000        ",Nallagandla,0,0,0,0
143,3,3,NaN,1088," 21,000        ",Miyapur,0,0,0,0
144,1,1,NaN,150," 5,500        ",Manikonda,0,0,0,0
145,4,4,Semi Furnished,2205," 48,000        ",Gachibowli,0,0,0,0
146,2,2,Semi Furnished,750," 9,000        ",Manikonda,0,0,0,0
147,2,2,NaN,750," 10,500        ",Puppalaguda,0,0,0,0
148,1,1,NaN,600," 11,000        ",Allwyn Colony,0,0,0,0
149,2,2,Semi Furnished,1125," 25,000        ",Yousufguda,0,0,0,0
150,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
151,3,3,Semi Furnished,1200," 30,000        ",Kondapur,0,0,0,0
152,3,3,Semi Furnished,1968," 90,000        ",Banjara Hills,0,0,0,0
153,2,3,Fully Furnished,880," 25,000        ",Gachibowli,0,1,0,0
154,4,4,Semi Furnished,2400," 60,000        ",Madhapur,0,0,0,0
155,1,1,Semi Furnished,75," 8,000        ",New vivekananda Nagar,0,1,0,0
156,2,2,Fully Furnished,1000," 37,000        ",Hi Tech City,0,0,0,0
157,2,2,NaN,1084," 18,000        ",Madinaguda,0,0,0,0
158,1,1,Semi Furnished,150," 5,000        ",Malkajgiri,0,0,0,0
159,3,3,Semi Furnished,1170," 25,000        ",Miyapur,0,1,0,0
160,2,2,Semi Furnished,1174," 20,000        ",Miyapur,0,1,0,0
161,2,2,Semi Furnished,788," 14,500        ",Miyapur,0,1,0,0
162,2,2,NaN,900," 11,500        ",Serilingampally,0,0,0,0
163,1,1,NaN,N/A,          Call For Price        ,Kukatpally,0,0,0,0
164,2,3,Semi Furnished,1088," 28,000        ",Kondapur,0,0,0,0
165,2,2,NaN,900," 13,500        ",New Bolarum,0,1,0,0
166,3,3,NaN,1163," 21,000        ",Gachibowli,0,1,0,0
167,3,3,Semi Furnished,1212," 25,000        ",Moosapet,0,0,0,0
168,3,3,Semi Furnished,1616," 42,000        ",Himayath Nagar,1,0,0,0
169,2,2,NaN,1150," 11,000        ",Mallampet,0,0,1,0
170,3,3,Semi Furnished,1241," 30,000        ",Gachibowli,0,1,0,0
171,3,2,NaN,1215," 25,000        ",Gajularamaram,0,1,0,0
172,2,2,NaN,1125," 8,500        ",Chengicherla,0,1,0,0
173,3,3,NaN,1238," 25,000        ",Ashok Nagar-Himayatnagar,0,0,0,0
174,2,2,Semi Furnished,1013," 18,000        ",Bowrampet,0,0,0,0
175,3,3,NaN,1427," 30,000        ",Alkapur Township,0,0,0,0
176,3,2,Semi Furnished,1163," 25,000        ",Kukatpally,0,0,0,0
177,2,2,Preference Furnished,1094," 16,000        ",Indira Nagar-Gachibowli,0,1,0,0
178,4,5,Fully Furnished,3750," 8,000        ",Indira Nagar-Gachibowli,0,0,0,0
179,1,1,NaN,300," 6,500        ",Kukatpally,0,0,0,0
180,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
181,3,3,Semi Furnished,1160," 23,000        ",Gachibowli,0,0,1,0
182,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
183,2,3,Fully Furnished,880," 25,000        ",Gachibowli,0,1,0,0
184,2,2,NaN,898," 44,000        ",Nanakramguda,0,0,0,0
185,3,3,NaN,1200," 20,000        ",Kondapur,0,1,0,0
186,2,2,Semi Furnished,960," 25,000        ",Moosapet,0,0,0,0
187,2,2,Semi Furnished,1000," 20,000        ",KPHB,0,0,0,0
188,1,1,Semi Furnished,488," 5,000        ",Begumpet Road,0,0,0,0
189,2,2,Semi Furnished,1000," 16,000        ",Appa Junction,1,0,0,0
190,3,3,Semi Furnished,2000," 50,000        ",Manikonda,0,0,0,0
191,2,2,NaN,1350," 24,000        ",TNGOs Colony Phase 2,0,1,0,0
192,3,3,Semi Furnished,1285," 30,000        ",Gowlidoddy,0,0,0,0
193,2,2,NaN,1016," 25,000        ",Hitech City Road,0,1,0,0
194,3,2,NaN,1163," 20,000        ",Manikonda,0,1,0,0
195,2,2,Semi Furnished,863," 21,000        ",Madhapur,0,1,0,0
196,2,2,Fully Furnished,1000," 35,000        ",Kothaguda,1,0,0,0
197,2,2,Fully Furnished,938," 40,000        ",Madhapur,0,0,0,0
198,3,2,Fully Furnished,1200," 27,000        ",Manikonda,1,0,0,0
199,2,2,NaN,908," 25,000        ",Kukatpally,0,1,0,0
200,3,3,Fully Furnished,2400," 25,000        ",Serilingampally,0,0,0,0
201,3,3,NaN,1650," 24,000        ",Manikonda,0,1,0,0
202,2,2,NaN,375," 7,500        ",Lothukunta,0,1,0,0
203,3,2,Semi Furnished,1073," 20,000        ",Miyapur,0,1,0,0
204,3,3,Semi Furnished,1170," 25,000        ",Miyapur,0,1,0,0
205,2,2,Semi Furnished,1023," 30,000        ",Gachibowli,0,1,0,0
206,3,2,NaN,900," 22,000        ",Siddhartha Nagar,0,1,0,0
207,2,2,Semi Furnished,750," 11,000        ",Boduppal,0,0,0,0
208,3,2,NaN,1200," 19,000        ",Nampally,0,0,0,0
209,3,2,NaN,1350," 40,000        ",Punjagutta,0,1,0,0
210,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
211,4,4,Semi Furnished,3200, 1.25 L         ,Gachibowli,0,0,0,0
212,2,3,Fully Furnished,880," 25,000        ",Gachibowli,0,1,0,0
213,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
214,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
215,3,3,NaN,1780," 24,000        ",Panchavati Colony,0,0,0,0
216,2,2,NaN,900," 8,500        ",Sainikpuri,0,1,0,0
217,3,3,Semi Furnished,1212," 30,000        ",Nallagandla,0,0,1,0
218,2,2,NaN,1100," 15,000        ",Malkajgiri,0,0,0,0
219,2,2,NaN,750," 8,500        ",Malakpet,0,1,0,0
220,3,3,NaN,1221," 34,000        ",Kondapur,0,1,0,0
221,2,2,NaN,900," 11,500        ",Serilingampally,0,0,0,0
222,2,2,NaN,900," 13,500        ",New Bolarum,0,1,0,0
223,1,1,NaN,750," 13,000        ",Nallagandla,0,0,0,0
224,4,5,Semi Furnished,1173," 50,000        ",Kondapur,0,0,0,0
225,2,2,NaN,765," 8,000        ",Kistareddypet,0,1,0,0
226,3,2,Semi Furnished,1988," 81,000        ",Banjara Hills,0,1,0,0
227,2,2,NaN,962," 48,000        ",Nanakramguda,0,1,0,0
228,2,2,NaN,825," 12,500        ",Ayodhya Nagar Colony-Mehdipatnam,0,1,0,0
229,3,3,Semi Furnished,1850," 27,000        ",Tarnaka,0,1,0,0
230,2,2,Semi Furnished,1013," 16,000        ",Tolichowki,0,0,0,0
231,1,1,Not Furnished,60," 5,500        ",Chandrayangutta,0,0,0,0
232,1,1,NaN,488," 6,500        ",Bandam Kommu,0,0,0,0
233,3,3,NaN,975," 20,000        ",A S Rao Nagar,0,0,0,0
234,2,2,NaN,888," 14,000        ",Upparpalli,0,0,0,0
235,4,4,Semi Furnished,2700," 38,000        ",OU Colony,0,0,0,0
236,2,2,Not Furnished,975," 12,000        ",Gandhamguda,0,0,0,0
237,1,1,NaN,525," 10,000        ",Shastripuram Colony,0,0,0,0
238,2,2,Semi Furnished,900," 14,000        ",Vanasthalipuram,0,0,0,0
239,3,3,Semi Furnished,1013," 19,000        ",Old Malakpet,0,0,0,0
240,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
241,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
242,3,3,Semi Furnished,2440," 62,000        ",Banjara Hills,1,0,0,0
243,4,4,Semi Furnished,3000, 1.25 L         ,Kavuri Hills,1,0,0,0
244,2,2,NaN,898," 44,000        ",Nanakramguda,0,0,0,0
245,3,3,Not Furnished,900," 15,000        ",Gaddiannaram,0,0,0,0
246,3,3,Semi Furnished,1013," 19,000        ",Old Malakpet,0,0,0,0
247,2,2,Semi Furnished,900," 14,000        ",Vanasthalipuram,0,0,0,0
248,3,3,Semi Furnished,1013," 19,000        ",Old Malakpet,0,0,0,0
249,3,3,Semi Furnished,1350," 20,000        ",Yakutpura,0,0,0,0
250,2,2,Semi Furnished,806," 16,000        ",Chanda Nagar,0,1,0,0
251,2,2,NaN,1125," 10,500        ",RC Reddy Colony,0,1,0,0
252,2,2,NaN,878," 10,500        ",HMT Swarnapuri Colony,0,0,0,0
253,2,2,NaN,887," 18,000        ",Attapur,0,1,0,0
254,2,2,NaN,1125," 7,000        ",Gurram Guda,0,0,0,0
255,2,2,NaN,919," 15,000        ",Kukatpally,0,0,0,0
256,2,2,NaN,878," 10,500        ",HMT Swarnapuri Colony,0,0,0,0
257,2,2,NaN,1000," 12,000        ",Nizampet,0,0,0,0
258,2,2,NaN,563," 8,000        ",Malkajgiri,0,1,0,0
259,2,2,NaN,735," 20,000        ",Rajendra Nagar,0,1,0,0
260,1,1,Semi Furnished,360, 35 L         ,Manikonda,0,1,0,0
261,2,2,Fully Furnished,900," 16,000        ",Somajiguda,0,0,0,0
262,2,2,Semi Furnished,1000," 9,000        ",Boduppal,0,1,0,0
263,2,1,Semi Furnished,480," 6,500        ",Toli Chowki,0,0,0,0
264,3,3,Not Furnished,1050," 19,500        ",Saidabad,0,0,0,0
265,2,2,Semi Furnished,536," 10,000        ",Tondpalle,0,0,0,0
266,3,2,Semi Furnished,1069," 21,000        ",IDA Uppal,0,1,0,0
267,2,2,Fully Furnished,1013," 40,000        ",Kokapet,0,1,0,0
268,1,1,NaN,413," 8,000        ",Chanda Nagar,0,1,0,0
269,2,2,Semi Furnished,900," 14,000        ",Vanasthalipuram,0,1,0,0
270,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
271,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
272,3,3,Semi Furnished,1968," 90,000        ",Banjara Hills,0,0,0,0
273,3,3,Semi Furnished,1488," 49,000        ",Gachibowli,1,0,0,0
274,3,3,Semi Furnished,1200," 30,000        ",Kondapur,0,0,0,0
275,3,2,NaN,1400," 22,000        ",Miyapur,0,0,0,0
276,2,2,Semi Furnished,675," 7,500        ",Chengicherla,0,1,0,0
277,3,3,Not Furnished,1144," 15,000        ",Abhyudaya Nagar-Bandlaguda Jagir,0,0,0,0
278,1,1,Not Furnished,225," 6,000        ",Amberpet,0,0,0,0
279,2,2,Semi Furnished,825," 12,000        ",Turkapalli-Bolarum,0,0,0,0
280,2,2,Semi Furnished,825," 12,000        ",Turkapalli-Bolarum,0,0,0,0
281,2,2,Not Furnished,938," 7,000        ",Bollaram Industrial Area,0,0,0,0
282,1,1,Not Furnished,413," 8,000        ",Yella Reddy Guda-Yousufguda,0,0,0,0
283,2,2,Semi Furnished,113," 29,900        ",Banjara Hills,0,0,0,0
284,2,2,NaN,911," 25,000        ",Upparpalli,0,1,0,0
285,3,3,Not Furnished,1144," 15,000        ",Abhyudaya Nagar-Bandlaguda Jagir,0,0,0,0
286,3,3,NaN,1066," 19,000        ",HMT Officers Colony,0,0,0,0
287,2,2,Fully Furnished,1013," 40,000        ",Kokapet,0,1,0,0
288,2,2,NaN,713," 10,000        ",Uppal,0,1,0,0
289,3,3,Semi Furnished,1688," 34,500        ",Madhapur,0,0,0,0
290,2,2,NaN,788," 17,500        ",Puppalaguda,0,1,0,0
291,3,3,Fully Furnished,971," 16,000        ",Nagole,0,0,0,0
292,3,3,Preference Furnished,880," 10,000        ",Chintal,0,1,0,0
293,2,2,Semi Furnished,1023," 30,000        ",Gachibowli,0,1,0,0
294,2,2,Semi Furnished,1100," 23,000        ",Banjara Hills,0,0,0,0
295,2,2,Semi Furnished,941," 18,000        ",Nallagandla,0,1,0,0
296,2,2,Fully Furnished,746," 23,000        ",Rajendra Nagar,0,0,0,0
297,2,2,Semi Furnished,1000," 13,000        ",Upperpally,1,0,0,0
298,2,2,Semi Furnished,788," 12,000        ",Pulimamidi,0,1,0,0
299,3,2,Semi Furnished,1088," 18,000        ",Shaikpet,0,1,0,0
300,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
301,4,4,Semi Furnished,2500," 38,000        ",Gachibowli,0,0,0,0
302,3,3,Semi Furnished,1968," 90,000        ",Banjara Hills,0,0,0,0
303,4,4,Semi Furnished,3200, 1.25 L         ,Gachibowli,0,0,0,0
304,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
305,3,2,Semi Furnished,1088," 18,000        ",Shaikpet,0,1,0,0
306,3,3,Semi Furnished,1400," 35,000        ",Banjara Hills,0,1,0,0
307,3,-,NaN,1500," 55,000        ",Banjara Hills,0,0,0,0
308,2,2,NaN,135," 15,000        ",MD Lines,0,1,0,0
309,2,2,NaN,825," 13,000        ",Moula Ali,0,0,0,0
310,3,4,Semi Furnished,2000," 45,000        ",Attapur,0,1,0,0
311,2,2,NaN,900," 11,500        ",Serilingampally,0,0,0,0
312,3,2,Semi Furnished,880," 6,000        ",Ameerpet,0,0,0,0
313,2,2,Semi Furnished,750," 11,000        ",King Koti,0,0,0,0
314,2,2,Not Furnished,75," 6,000        ",Chandrayangutta,0,0,0,0
315,2,2,Fully Furnished,803," 12,500        ",Miyapur,0,0,0,0
316,2,2,Not Furnished,56," 5,499        ",Kishan Bagh,0,0,0,0
317,3,3,Semi Furnished,1280," 35,000        ",Nallagandla,0,0,0,0
318,3,3,NaN,1898," 26,000        ",Kompally,0,0,0,0
319,1,1,NaN,139," 12,000        ",KPHB,0,0,0,0
320,2,2,NaN,750," 7,000        ",Uppal,0,1,0,0
321,3,2,Semi Furnished,1163," 25,000        ",Kukatpally,0,0,0,0
322,1,1,NaN,225," 6,000        ",MG Nagar,0,1,0,0
323,2,2,Semi Furnished,800," 10,500        ",Ameerpet,0,0,0,0
324,3,2,Semi Furnished,900," 25,000        ",Gachibowli,0,1,0,0
325,2,2,Fully Furnished,600," 7,000        ",Begumpet,0,1,0,0
326,1,1,NaN,600," 6,000        ",Sainikpuri,0,1,0,0
327,2,2,NaN,1050," 18,000        ",Hafeezpet,0,1,0,0
328,2,2,Not Furnished,1013," 16,000        ",Banjara Hills,0,0,0,0
329,1,1,Semi Furnished,563," 7,000        ",KPHB,0,1,0,0
330,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
331,3,3,Semi Furnished,1200," 30,000        ",Kondapur,0,0,0,0
332,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
333,2,2,NaN,898," 44,000        ",Nanakramguda,0,0,0,0
334,3,3,Semi Furnished,1680," 42,000        ",Kondapur,0,0,0,0
335,2,1,Semi Furnished,1400," 12,000        ",RTC Colony-Chanda Nagar,0,1,0,0
336,2,2,NaN,750," 13,500        ",Warasiguda,0,0,0,0
337,3,2,NaN,2250," 18,000        ",Athvelly,0,1,0,0
338,2,2,NaN,897," 12,000        ",Miyapur,0,0,0,0
339,2,2,Semi Furnished,825," 9,000        ",Miyapur,0,1,0,0
340,3,3,Fully Furnished,1204," 20,000        ",Kismatpur,1,0,0,0
341,2,2,Semi Furnished,731," 8,500        ",Buddha Nagar,0,1,0,0
342,3,3,Fully Furnished,1200," 22,000        ",Habsiguda,0,1,0,0
343,3,3,NaN,1500," 20,000        ",Attapur,0,0,0,0
344,2,2,NaN,825," 18,500        ",Banjara Hills,0,0,0,0
345,2,2,NaN,825," 16,500        ",Lakdikapul,0,1,0,0
346,1,1,Fully Furnished,690," 9,000        ",R.C Puram,0,0,0,0
347,2,2,NaN,825," 16,000        ",Alkapur Township,0,0,0,0
348,2,2,Semi Furnished,825," 9,000        ",Miyapur,0,1,0,0
349,3,3,NaN,1200," 20,000        ",Kondapur,0,1,0,0
350,3,2,NaN,1080," 12,000        ",Kothapet,0,1,0,0
351,1,1,NaN,326," 7,600        ",AC Guards,0,1,0,0
352,3,3,Fully Furnished,2250," 75,000        ",Nanakramguda,0,1,0,0
353,3,2,Semi Furnished,1166," 26,000        ",Miyapur,0,1,0,0
354,3,3,Family Furnished,1120," 14,500        ",Kukatpally,0,0,0,0
355,2,1,NaN,1125," 16,000        ",KPHB,0,1,0,0
356,2,2,Semi Furnished,1013," 25,000        ",Manikonda,0,0,0,0
357,3,3,Semi Furnished,1613," 40,000        ",Nallagandla,0,0,0,0
358,2,2,NaN,938," 19,999        ",Manikonda,0,1,0,0
359,3,3,Semi Furnished,1395," 34,000        ",Nallagandla,0,1,0,0
360,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
361,3,2,Semi Furnished,1040," 35,000        ",Kakatiya Hills,0,0,0,0
362,2,3,Fully Furnished,880," 25,000        ",Gachibowli,0,1,0,0
363,3,3,Semi Furnished,2440," 62,000        ",Banjara Hills,1,0,0,0
364,3,3,Semi Furnished,1968," 90,000        ",Banjara Hills,0,0,0,0
365,1,1,NaN,1350," 6,000        ",Vanasthalipuram,0,1,0,0
366,2,2,NaN,790," 12,000        ",Thumkunta,0,1,0,0
